season,matchnumber,venue,dateandtime,winningteam,firstteam,secondteam,link
2012,MATCH 55,"Sawai Mansingh Stadium, Jaipur","MAY, THU 10 , 8:00 pm IST",CHENNAI SUPER KINGS WON BY 4 WICKETS,"RR
126/6
(20 OV)","CSK
127/6
(18.1 OV )",https://www.iplt20.com/match/2012/10306
2012,MATCH 54,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad","MAY, THU 10 , 4:00 pm IST",DELHI DAREDEVILS WON BY 9 WICKETS,"DEC
187/4
(20 OV)","DD
193/1
(16.4 OV )",https://www.iplt20.com/match/2012/10305
2012,MATCH 53,"Wankhede Stadium, Mumbai","MAY, WED 9 , 8:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 9 WICKETS,"MI
141/6
(20 OV)","RCB
142/1
(18 OV )",https://www.iplt20.com/match/2012/10304
2012,MATCH 52,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad","MAY, TUE 8 , 8:00 pm IST",PUNJAB KINGS WON BY 25 RUNS,"DEC
145/8
(20 OV)","PBKS
170/5
(20 OV )",https://www.iplt20.com/match/2012/10303
2012,MATCH 51,Pune,"MAY, TUE 8 , 4:00 pm IST",RAJASTHAN ROYALS WON BY 7 WICKETS,"PWI
125/6
(20 OV)","RR
126/3
(16.2 OV )",https://www.iplt20.com/match/2012/10302
2012,MATCH 50,"Arun Jaitley Stadium, Delhi","MAY, MON 7 , 8:00 pm IST",KOLKATA KNIGHT RIDERS WON BY 6 WICKETS,"DD
153/9
(20 OV)","KKR
154/4
(18.4 OV )",https://www.iplt20.com/match/2012/10301
2012,MATCH 49,"M. Chinnaswamy Stadium, Bengaluru","MAY, SUN 6 , 8:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 5 WICKETS,"RCB
185/5
(18.5 OV)","DEC
181/2
(20 OV )",https://www.iplt20.com/match/2012/10300
2012,MATCH 48,"Wankhede Stadium, Mumbai","MAY, SUN 6 , 4:00 pm IST",MUMBAI INDIANS WON BY 2 WICKETS,"MI
174/8
(20 OV)","CSK
173/8
(20 OV )",https://www.iplt20.com/match/2012/10299
2012,MATCH 47,"IS Bindra Stadium, Mohali","MAY, SAT 5 , 8:00 pm IST",RAJASTHAN ROYALS WON BY 43 RUNS,"PBKS
134/8
(20 OV)","RR
177/6
(20 OV )",https://www.iplt20.com/match/2012/10298
2012,MATCH 46,"Eden Gardens, Kolkata","MAY, SAT 5 , 4:00 pm IST",KOLKATA KNIGHT RIDERS WON BY 7 RUNS,"KKR
150/5
(20 OV)","PWI
143/8
(20 OV )",https://www.iplt20.com/match/2012/10297
2012,MATCH 45,"M. A. Chidambaram Stadium, Chennai","MAY, FRI 4 , 8:00 pm IST",CHENNAI SUPER KINGS WON BY 10 RUNS,"CSK
160/6
(20 OV)","DEC
150/5
(20 OV )",https://www.iplt20.com/match/2012/10296
2012,MATCH 44,Pune,"MAY, THU 3 , 8:00 pm IST",MUMBAI INDIANS WON BY 1 RUN,"PWI
119/6
(20 OV)","MI
120/9
(20 OV )",https://www.iplt20.com/match/2012/10295
2012,MATCH 43,"M. Chinnaswamy Stadium, Bengaluru","MAY, WED 2 , 8:00 pm IST",PUNJAB KINGS WON BY 4 WICKETS,"RCB
158/5
(20 OV)","PBKS
163/6
(19.5 OV )",https://www.iplt20.com/match/2012/10294
2012,MATCH 42,"Sawai Mansingh Stadium, Jaipur","MAY, TUE 1 , 8:00 pm IST",DELHI DAREDEVILS WON BY 6 WICKETS,"RR
141/6
(20 OV)","DD
144/4
(15.2 OV )",https://www.iplt20.com/match/2012/10293
2012,MATCH 41,"Barabati Stadium, Cuttack","MAY, TUE 1 , 4:00 pm IST",DECCAN CHARGERS WON BY 13 RUNS,"DEC
186/4
(20 OV)","PWI
173/5
(20 OV )",https://www.iplt20.com/match/2012/10292
2012,MATCH 40,"M. A. Chidambaram Stadium, Chennai","APR, MON 30 , 8:00 pm IST",KOLKATA KNIGHT RIDERS WON BY 5 WICKETS,"CSK
139/5
(20 OV)","KKR
140/5
(19.4 OV )",https://www.iplt20.com/match/2012/10291
2012,MATCH 39,"Wankhede Stadium, Mumbai","APR, SUN 29 , 8:00 pm IST",MUMBAI INDIANS WON BY 5 WICKETS,"MI
101/5
(18.1 OV)","DEC
100
(18.4 OV )",https://www.iplt20.com/match/2012/10290
2012,MATCH 38,"Arun Jaitley Stadium, Delhi","APR, SUN 29 , 4:00 pm IST",DELHI DAREDEVILS WON BY 1 RUN,"DD
152/6
(20 OV)","RR
151/3
(20 OV )",https://www.iplt20.com/match/2012/10289
2012,MATCH 37,"Eden Gardens, Kolkata","APR, SAT 28 , 8:00 pm IST",KOLKATA KNIGHT RIDERS WON BY 47 RUNS,"KKR
190/4
(20 OV)","RCB
143/6
(20 OV )",https://www.iplt20.com/match/2012/10288
2012,MATCH 36,"M. A. Chidambaram Stadium, Chennai","APR, SAT 28 , 4:00 pm IST",PUNJAB KINGS WON BY 7 RUNS,"CSK
149/8
(20 OV)","PBKS
156/8
(20 OV )",https://www.iplt20.com/match/2012/10287
2012,MATCH 35,"Arun Jaitley Stadium, Delhi","APR, FRI 27 , 8:00 pm IST",DELHI DAREDEVILS WON BY 37 RUNS,"DD
207/5
(20 OV)","MI
170/9
(20 OV )",https://www.iplt20.com/match/2012/10286
2012,MATCH 34,Pune,"APR, THU 26 , 8:00 pm IST",DECCAN CHARGERS WON BY 18 RUNS,"PWI
159/7
(20 OV)","DEC
177/4
(20 OV )",https://www.iplt20.com/match/2012/10285
2012,MATCH 33,"M. Chinnaswamy Stadium, Bengaluru","APR, WED 25 , 8:00 pm IST",MATCH ABANDONED WITHOUT A BALL BOWLED,RCB,CSK,https://www.iplt20.com/match/2012/10284
2012,MATCH 32,"IS Bindra Stadium, Mohali","APR, WED 25 , 4:00 pm IST",MUMBAI INDIANS WON BY 4 WICKETS,"PBKS
168/3
(20 OV)","MI
171/6
(19.5 OV )",https://www.iplt20.com/match/2012/10283
2012,MATCH 31,"Eden Gardens, Kolkata","APR, TUE 24 , 8:00 pm IST",MATCH ABANDONED WITHOUT A BALL BOWLED,KKR,DEC,https://www.iplt20.com/match/2012/10282
2012,MATCH 30,Pune,"APR, TUE 24 , 4:00 pm IST",DELHI DAREDEVILS WON BY 8 WICKETS,"PWI
146/2
(20 OV)","DD
148/2
(16 OV )",https://www.iplt20.com/match/2012/10281
2012,MATCH 29,"Sawai Mansingh Stadium, Jaipur","APR, MON 23 , 8:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 46 RUNS,"RR
143/7
(20 OV)","RCB
189/3
(20 OV )",https://www.iplt20.com/match/2012/10280
2012,MATCH 28,"Barabati Stadium, Cuttack","APR, SUN 22 , 8:00 pm IST",KOLKATA KNIGHT RIDERS WON BY 5 WICKETS,"DEC
126/7
(20 OV)","KKR
127/5
(19 OV )",https://www.iplt20.com/match/2012/10279
2012,MATCH 27,"Wankhede Stadium, Mumbai","APR, SUN 22 , 4:00 pm IST",PUNJAB KINGS WON BY 6 WICKETS,"MI
163/6
(20 OV)","PBKS
164/4
(19.3 OV )",https://www.iplt20.com/match/2012/10278
2012,MATCH 26,"Arun Jaitley Stadium, Delhi","APR, SAT 21 , 8:00 pm IST",PUNE WARRIORS INDIA WON BY 20 RUNS,"DD
172/7
(20 OV)","PWI
192/3
(20 OV )",https://www.iplt20.com/match/2012/10277
2012,MATCH 25,"M. A. Chidambaram Stadium, Chennai","APR, SAT 21 , 4:00 pm IST",CHENNAI SUPER KINGS WON BY 7 WICKETS,"CSK
147/3
(20 OV)","RR
146/4
(20 OV )",https://www.iplt20.com/match/2012/10276
2012,MATCH 24,"IS Bindra Stadium, Mohali","APR, FRI 20 , 8:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 5 WICKETS,"PBKS
163/6
(20 OV)","RCB
166/5
(19.3 OV )",https://www.iplt20.com/match/2012/10275
2012,MATCH 23,"Arun Jaitley Stadium, Delhi","APR, THU 19 , 4:00 pm IST",DELHI DAREDEVILS WON BY 5 WICKETS,"DD
162/5
(19.1 OV)","DEC
157/8
(20 OV )",https://www.iplt20.com/match/2012/10274
2012,MATCH 22,"IS Bindra Stadium, Mohali","APR, WED 18 , 8:00 pm IST",KOLKATA KNIGHT RIDERS WON BY 8 WICKETS,"PBKS
124/7
(20 OV)","KKR
127/2
(16.3 OV )",https://www.iplt20.com/match/2012/10273
2012,MATCH 21,"M. Chinnaswamy Stadium, Bengaluru","APR, TUE 17 , 8:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 6 WICKETS,"RCB
186/4
(20 OV)","PWI
182/6
(20 OV )",https://www.iplt20.com/match/2012/10272
2012,MATCH 20,"Sawai Mansingh Stadium, Jaipur","APR, TUE 17 , 4:00 pm IST",RAJASTHAN ROYALS WON BY 5 WICKETS,"RR
197/5
(19.4 OV)","DEC
196/2
(20 OV )",https://www.iplt20.com/match/2012/10271
2012,MATCH 19,"Wankhede Stadium, Mumbai","APR, MON 16 , 8:00 pm IST",DELHI DAREDEVILS WON BY 7 WICKETS,"MI
92
(19.2 OV)","DD
93/3
(14.5 OV )",https://www.iplt20.com/match/2012/10270
2012,MATCH 18,"M. Chinnaswamy Stadium, Bengaluru","APR, SUN 15 , 8:00 pm IST",RAJASTHAN ROYALS WON BY 59 RUNS,"RCB
136
(19.5 OV)","RR
195/2
(20 OV )",https://www.iplt20.com/match/2012/10269
2012,MATCH 17,"Eden Gardens, Kolkata","APR, SUN 15 , 4:00 pm IST",PUNJAB KINGS WON BY 2 RUNS,"KKR
132/7
(20 OV)","PBKS
134/9
(20 OV )",https://www.iplt20.com/match/2012/10268
2012,MATCH 16,Pune,"APR, SAT 14 , 8:00 pm IST",PUNE WARRIORS INDIA WON BY 7 WICKETS,"PWI
156/3
(19.2 OV)","CSK
155/5
(20 OV )",https://www.iplt20.com/match/2012/10267
2012,MATCH 15,"Eden Gardens, Kolkata","APR, FRI 13 , 8:00 pm IST",KOLKATA KNIGHT RIDERS WON BY 5 WICKETS,"KKR
137/5
(19.2 OV)","RR
131/5
(20 OV )",https://www.iplt20.com/match/2012/10266
2012,MATCH 14,"IS Bindra Stadium, Mohali","APR, THU 12 , 8:00 pm IST",PUNJAB KINGS WON BY 7 WICKETS,"PBKS
116/3
(17.4 OV)","PWI
115
(19 OV )",https://www.iplt20.com/match/2012/10265
2012,MATCH 13,"M. A. Chidambaram Stadium, Chennai","APR, THU 12 , 4:00 pm IST",CHENNAI SUPER KINGS WON BY 5 WICKETS,"CSK
208/5
(20 OV)","RCB
205/8
(20 OV )",https://www.iplt20.com/match/2012/10264
2012,MATCH 12,"Wankhede Stadium, Mumbai","APR, WED 11 , 8:00 pm IST",MUMBAI INDIANS WON BY 27 RUNS,"MI
197/6
(20 OV)","RR
170
(19.4 OV )",https://www.iplt20.com/match/2012/10263
2012,MATCH 11,"Arun Jaitley Stadium, Delhi","APR, TUE 10 , 8:00 pm IST",DELHI DAREDEVILS WON BY 8 WICKETS,"DD
111/2
(13.2 OV)","CSK
110/8
(20 OV )",https://www.iplt20.com/match/2012/10262
2012,MATCH 10,"M. Chinnaswamy Stadium, Bengaluru","APR, TUE 10 , 4:00 pm IST",KOLKATA KNIGHT RIDERS WON BY 42 RUNS,"RCB
123/9
(20 OV)","KKR
165/8
(20 OV )",https://www.iplt20.com/match/2012/10261
2012,MATCH 9,"ACA-VDCA Stadium, Visakhapatnam","APR, MON 9 , 8:00 pm IST",MUMBAI INDIANS WON BY 5 WICKETS,"DEC
138/9
(20 OV)","MI
142/5
(20 OV )",https://www.iplt20.com/match/2012/10260
2012,MATCH 8,Pune,"APR, SUN 8 , 8:00 pm IST",PUNE WARRIORS INDIA WON BY 22 RUNS,"PWI
166/6
(20 OV)","PBKS
144/8
(20 OV )",https://www.iplt20.com/match/2012/10259
2012,MATCH 7,"Sawai Mansingh Stadium, Jaipur","APR, SUN 8 , 4:00 pm IST",RAJASTHAN ROYALS WON BY 22 RUNS,"RR
164/5
(20 OV)","KKR
142
(20 OV )",https://www.iplt20.com/match/2012/10258
2012,MATCH 6,"ACA-VDCA Stadium, Visakhapatnam","APR, SAT 7 , 8:00 pm IST",CHENNAI SUPER KINGS WON BY 74 RUNS,"DEC
119
(17.1 OV)","CSK
193/6
(20 OV )",https://www.iplt20.com/match/2012/10257
2012,MATCH 5,"M. Chinnaswamy Stadium, Bengaluru","APR, SAT 7 , 4:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 20 RUNS,"RCB
157/8
(20 OV)","DD
137/7
(20 OV )",https://www.iplt20.com/match/2012/10256
2012,MATCH 4,"Sawai Mansingh Stadium, Jaipur","APR, FRI 6 , 8:00 pm IST",RAJASTHAN ROYALS WON BY 31 RUNS,"RR
191/4
(20 OV)","PBKS
160/9
(20 OV )",https://www.iplt20.com/match/2012/10255
2012,MATCH 3,"Wankhede Stadium, Mumbai","APR, FRI 6 , 4:00 pm IST",PUNE WARRIORS INDIA WON BY 28 RUNS,"MI
101/9
(20 OV)","PWI
129/9
(20 OV )",https://www.iplt20.com/match/2012/10254
2012,MATCH 2,"Eden Gardens, Kolkata","APR, THU 5 , 8:00 pm IST",DELHI DAREDEVILS WON BY 8 WICKETS,"KKR
97/9
(12 OV)","DD
100/2
(11.1 OV )",https://www.iplt20.com/match/2012/10253
2012,MATCH 1,"M. A. Chidambaram Stadium, Chennai","APR, WED 4 , 8:00 pm IST",MUMBAI INDIANS WON BY 8 WICKETS,"CSK
112
(19.5 OV)","MI
115/2
(16.5 OV )",https://www.iplt20.com/match/2012/10252
2013,MATCH 76,"Eden Gardens, Kolkata","MAY, SUN 26 , 8:00 pm IST",MUMBAI INDIANS WON BY 23 RUNS,"CSK
125/9
(20 OV)","MI
148/9
(20 OV )",https://www.iplt20.com/match/2013/10402
2013,MATCH 75,"Eden Gardens, Kolkata","MAY, FRI 24 , 8:00 pm IST",MUMBAI INDIANS WON BY 4 WICKETS,"RR
165/6
(20 OV)","MI
169/6
(19.5 OV )",https://www.iplt20.com/match/2013/10401
2013,MATCH 74,"Arun Jaitley Stadium, Delhi","MAY, WED 22 , 8:00 pm IST",RAJASTHAN ROYALS WON BY 4 WICKETS,"RR
135/6
(19.2 OV)","SRH
132/7
(20 OV )",https://www.iplt20.com/match/2013/10400
2013,MATCH 73,"Arun Jaitley Stadium, Delhi","MAY, TUE 21 , 8:00 pm IST",CHENNAI SUPER KINGS WON BY 48 RUNS,"CSK
192/1
(20 OV)","MI
144
(18.4 OV )",https://www.iplt20.com/match/2013/10399
2013,MATCH 72,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad","MAY, SUN 19 , 8:00 pm IST",SUNRISERS HYDERABAD WON BY 5 WICKETS,"SRH
132/5
(18.5 OV)","KKR
130/7
(20 OV )",https://www.iplt20.com/match/2013/10398
2013,MATCH 71,Pune,"MAY, SUN 19 , 4:00 pm IST",PUNE WARRIORS INDIA WON BY 38 RUNS,"PWI
172/5
(20 OV)","DD
134/9
(20 OV )",https://www.iplt20.com/match/2013/10397
2013,MATCH 70,"M. Chinnaswamy Stadium, Bengaluru","MAY, SAT 18 , 8:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 24 RUNS,"RCB
106/2
(8 OV)","CSK
82/6
(8 OV )",https://www.iplt20.com/match/2013/10396
2013,MATCH 69,"HPCA Stadium, Dharamsala","MAY, SAT 18 , 4:00 pm IST",PUNJAB KINGS WON BY 50 RUNS,"PBKS
183/8
(20 OV)","MI
133/9
(19.1 OV )",https://www.iplt20.com/match/2013/10395
2013,MATCH 68,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad","MAY, FRI 17 , 8:00 pm IST",SUNRISERS HYDERABAD WON BY 23 RUNS,"SRH
136/9
(20 OV)","RR
113/9
(20 OV )",https://www.iplt20.com/match/2013/10394
2013,MATCH 67,"HPCA Stadium, Dharamsala","MAY, THU 16 , 8:00 pm IST",PUNJAB KINGS WON BY 7 RUNS,"PBKS
171/4
(20 OV)","DD
164/7
(20 OV )",https://www.iplt20.com/match/2013/10393
2013,MATCH 66,"Wankhede Stadium, Mumbai","MAY, WED 15 , 8:00 pm IST",MUMBAI INDIANS WON BY 14 RUNS,"MI
166/8
(20 OV)","RR
152/7
(20 OV )",https://www.iplt20.com/match/2013/10392
2013,MATCH 65,"JSCA International Cricket Stadium, Ranchi","MAY, WED 15 , 4:00 pm IST",PUNE WARRIORS INDIA WON BY 7 RUNS,"KKR
163/7
(20 OV)","PWI
170/4
(20 OV )",https://www.iplt20.com/match/2013/10391
2013,MATCH 64,"M. A. Chidambaram Stadium, Chennai","MAY, TUE 14 , 8:00 pm IST",CHENNAI SUPER KINGS WON BY 33 RUNS,"CSK
168/4
(20 OV)","DD
135/9
(20 OV )",https://www.iplt20.com/match/2013/10390
2013,MATCH 63,"M. Chinnaswamy Stadium, Bengaluru","MAY, TUE 14 , 4:00 pm IST",PUNJAB KINGS WON BY 7 WICKETS,"RCB
174/5
(20 OV)","PBKS
176/3
(18.1 OV )",https://www.iplt20.com/match/2013/10389
2013,MATCH 62,"Wankhede Stadium, Mumbai","MAY, MON 13 , 8:00 pm IST",MUMBAI INDIANS WON BY 7 WICKETS,"MI
184/3
(19.3 OV)","SRH
178/3
(20 OV )",https://www.iplt20.com/match/2013/10388
2013,MATCH 61,"Sawai Mansingh Stadium, Jaipur","MAY, SUN 12 , 8:00 pm IST",RAJASTHAN ROYALS WON BY 5 WICKETS,"RR
144/5
(17.1 OV)","CSK
141/4
(20 OV )",https://www.iplt20.com/match/2013/10387
2013,MATCH 60,"JSCA International Cricket Stadium, Ranchi","MAY, SUN 12 , 4:00 pm IST",KOLKATA KNIGHT RIDERS WON BY 5 WICKETS,"KKR
116/5
(19.2 OV)","RCB
115/9
(20 OV )",https://www.iplt20.com/match/2013/10386
2013,MATCH 59,"IS Bindra Stadium, Mohali","MAY, SAT 11 , 8:00 pm IST",SUNRISERS HYDERABAD WON BY 30 RUNS,"PBKS
120/9
(20 OV)","SRH
150/7
(20 OV )",https://www.iplt20.com/match/2013/10385
2013,MATCH 58,Pune,"MAY, SAT 11 , 4:00 pm IST",MUMBAI INDIANS WON BY 5 WICKETS,"PWI
112/8
(20 OV)","MI
116/5
(18.5 OV )",https://www.iplt20.com/match/2013/10384
2013,MATCH 57,"Arun Jaitley Stadium, Delhi","MAY, FRI 10 , 8:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 4 RUNS,"DD
179/7
(20 OV)","RCB
183/4
(20 OV )",https://www.iplt20.com/match/2013/10383
2013,MATCH 56,Pune,"MAY, THU 9 , 8:00 pm IST",KOLKATA KNIGHT RIDERS WON BY 46 RUNS,"PWI
106
(19.3 OV)","KKR
152/6
(20 OV )",https://www.iplt20.com/match/2013/10382
2013,MATCH 55,"IS Bindra Stadium, Mohali","MAY, THU 9 , 4:00 pm IST",RAJASTHAN ROYALS WON BY 8 WICKETS,"PBKS
145/6
(20 OV)","RR
147/2
(19 OV )",https://www.iplt20.com/match/2013/10381
2013,MATCH 54,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad","MAY, WED 8 , 8:00 pm IST",CHENNAI SUPER KINGS WON BY 77 RUNS,"SRH
146/8
(20 OV)","CSK
223/3
(20 OV )",https://www.iplt20.com/match/2013/10380
2013,MATCH 53,"Wankhede Stadium, Mumbai","MAY, TUE 7 , 8:00 pm IST",MUMBAI INDIANS WON BY 65 RUNS,"MI
170/6
(20 OV)","KKR
105
(18.2 OV )",https://www.iplt20.com/match/2013/10379
2013,MATCH 52,"Sawai Mansingh Stadium, Jaipur","MAY, TUE 7 , 4:00 pm IST",RAJASTHAN ROYALS WON BY 9 WICKETS,"RR
155/1
(17.5 OV)","DD
154/4
(20 OV )",https://www.iplt20.com/match/2013/10378
2013,MATCH 51,"IS Bindra Stadium, Mohali","MAY, MON 6 , 8:00 pm IST",PUNJAB KINGS WON BY 6 WICKETS,"PBKS
194/4
(18 OV)","RCB
190/3
(20 OV )",https://www.iplt20.com/match/2013/10377
2013,MATCH 50,"Sawai Mansingh Stadium, Jaipur","MAY, SUN 5 , 8:00 pm IST",RAJASTHAN ROYALS WON BY 5 WICKETS,"RR
182/5
(19.5 OV)","PWI
178/4
(20 OV )",https://www.iplt20.com/match/2013/10376
2013,MATCH 49,"Wankhede Stadium, Mumbai","MAY, SUN 5 , 4:00 pm IST",MUMBAI INDIANS WON BY 60 RUNS,"MI
139/5
(20 OV)","CSK
79
(15.2 OV )",https://www.iplt20.com/match/2013/10375
2013,MATCH 48,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad","MAY, SAT 4 , 8:00 pm IST",SUNRISERS HYDERABAD WON BY 6 WICKETS,"SRH
81/4
(13.5 OV)","DD
80
(19.1 OV )",https://www.iplt20.com/match/2013/10374
2013,MATCH 47,"Eden Gardens, Kolkata","MAY, FRI 3 , 8:00 pm IST",KOLKATA KNIGHT RIDERS WON BY 8 WICKETS,"KKR
133/2
(17.2 OV)","RR
132/6
(20 OV )",https://www.iplt20.com/match/2013/10373
2013,MATCH 46,Pune,"MAY, THU 2 , 8:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 17 RUNS,"PWI
170/9
(20 OV)","RCB
187/3
(20 OV )",https://www.iplt20.com/match/2013/10372
2013,MATCH 45,"M. A. Chidambaram Stadium, Chennai","MAY, THU 2 , 4:00 pm IST",CHENNAI SUPER KINGS WON BY 15 RUNS,"CSK
186/4
(20 OV)","PBKS
171/6
(20 OV )",https://www.iplt20.com/match/2013/10371
2013,MATCH 44,"Shaheed Veer Narayan Singh International Cricket Stadium, Naya Raipur","MAY, WED 1 , 8:00 pm IST",DELHI DAREDEVILS WON BY 7 WICKETS,"DD
137/3
(17.5 OV)","KKR
136/7
(20 OV )",https://www.iplt20.com/match/2013/10370
2013,MATCH 43,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad","MAY, WED 1 , 4:00 pm IST",SUNRISERS HYDERABAD WON BY 7 WICKETS,"SRH
130/3
(18 OV)","MI
129/4
(20 OV )",https://www.iplt20.com/match/2013/10369
2013,MATCH 42,Pune,"APR, TUE 30 , 8:00 pm IST",CHENNAI SUPER KINGS WON BY 37 RUNS,"PWI
127/9
(20 OV)","CSK
164/3
(20 OV )",https://www.iplt20.com/match/2013/10368
2013,MATCH 41,"Wankhede Stadium, Mumbai","APR, MON 29 , 8:00 pm IST",MUMBAI INDIANS WON BY 4 RUNS,"MI
174/3
(20 OV)","PBKS
170
(20 OV )",https://www.iplt20.com/match/2013/10367
2013,MATCH 40,"Sawai Mansingh Stadium, Jaipur","APR, MON 29 , 4:00 pm IST",RAJASTHAN ROYALS WON BY 4 WICKETS,"RR
173/6
(19.5 OV)","RCB
171/6
(20 OV )",https://www.iplt20.com/match/2013/10366
2013,MATCH 39,"Shaheed Veer Narayan Singh International Cricket Stadium, Naya Raipur","APR, SUN 28 , 8:00 pm IST",DELHI DAREDEVILS WON BY 15 RUNS,"DD
164/5
(20 OV)","PWI
149/4
(20 OV )",https://www.iplt20.com/match/2013/10365
2013,MATCH 38,"M. A. Chidambaram Stadium, Chennai","APR, SUN 28 , 4:00 pm IST",CHENNAI SUPER KINGS WON BY 14 RUNS,"CSK
200/3
(20 OV)","KKR
186/4
(20 OV )",https://www.iplt20.com/match/2013/10364
2013,MATCH 37,"Wankhede Stadium, Mumbai","APR, SAT 27 , 8:00 pm IST",MUMBAI INDIANS WON BY 58 RUNS,"MI
194/7
(20 OV)","RCB
136/7
(20 OV )",https://www.iplt20.com/match/2013/10363
2013,MATCH 36,"Sawai Mansingh Stadium, Jaipur","APR, SAT 27 , 4:00 pm IST",RAJASTHAN ROYALS WON BY 8 WICKETS,"RR
146/2
(17.5 OV)","SRH
144/9
(20 OV )",https://www.iplt20.com/match/2013/10362
2013,MATCH 35,"Eden Gardens, Kolkata","APR, FRI 26 , 8:00 pm IST",KOLKATA KNIGHT RIDERS WON BY 6 WICKETS,"KKR
150/4
(18.2 OV)","PBKS
149/6
(20 OV )",https://www.iplt20.com/match/2013/10361
2013,MATCH 34,"M. A. Chidambaram Stadium, Chennai","APR, THU 25 , 8:00 pm IST",CHENNAI SUPER KINGS WON BY 5 WICKETS,"CSK
160/5
(19.4 OV)","SRH
159/6
(20 OV )",https://www.iplt20.com/match/2013/10360
2013,MATCH 33,"Eden Gardens, Kolkata","APR, WED 24 , 8:00 pm IST",MUMBAI INDIANS WON BY 5 WICKETS,"KKR
159/6
(20 OV)","MI
162/5
(19.5 OV )",https://www.iplt20.com/match/2013/10359
2013,MATCH 32,"Arun Jaitley Stadium, Delhi","APR, TUE 23 , 8:00 pm IST",PUNJAB KINGS WON BY 5 WICKETS,"DD
120/7
(20 OV)","PBKS
121/5
(17 OV )",https://www.iplt20.com/match/2013/10358
2013,MATCH 31,"M. Chinnaswamy Stadium, Bengaluru","APR, TUE 23 , 4:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 130 RUNS,"RCB
263/5
(20 OV)","PWI
133/9
(20 OV )",https://www.iplt20.com/match/2013/10357
2013,MATCH 30,"M. A. Chidambaram Stadium, Chennai","APR, MON 22 , 8:00 pm IST",CHENNAI SUPER KINGS WON BY 5 WICKETS,"CSK
186/5
(19.5 OV)","RR
185/4
(20 OV )",https://www.iplt20.com/match/2013/10356
2013,MATCH 29,"IS Bindra Stadium, Mohali","APR, SUN 21 , 8:00 pm IST",PUNJAB KINGS WON BY 7 WICKETS,"PBKS
186/3
(19.5 OV)","PWI
185/4
(20 OV )",https://www.iplt20.com/match/2013/10355
2013,MATCH 28,"Arun Jaitley Stadium, Delhi","APR, SUN 21 , 4:00 pm IST",DELHI DAREDEVILS WON BY 9 WICKETS,"DD
165/1
(17 OV)","MI
161/4
(20 OV )",https://www.iplt20.com/match/2013/10354
2013,MATCH 27,"M. Chinnaswamy Stadium, Bengaluru","APR, SAT 20 , 8:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 7 WICKETS,"RCB
123/3
(17.5 OV)","RR
117
(19.4 OV )",https://www.iplt20.com/match/2013/10353
2013,MATCH 26,"Eden Gardens, Kolkata","APR, SAT 20 , 4:00 pm IST",CHENNAI SUPER KINGS WON BY 4 WICKETS,"KKR
119/9
(20 OV)","CSK
124/6
(19.1 OV )",https://www.iplt20.com/match/2013/10352
2013,MATCH 25,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad","APR, FRI 19 , 8:00 pm IST",SUNRISERS HYDERABAD WON BY 5 WICKETS,"SRH
127/5
(18.5 OV)","PBKS
123/9
(20 OV )",https://www.iplt20.com/match/2013/10351
2013,MATCH 24,"Arun Jaitley Stadium, Delhi","APR, THU 18 , 8:00 pm IST",CHENNAI SUPER KINGS WON BY 86 RUNS,"DD
83
(17.3 OV)","CSK
169/4
(20 OV )",https://www.iplt20.com/match/2013/10350
2013,MATCH 23,"Sawai Mansingh Stadium, Jaipur","APR, WED 17 , 8:00 pm IST",RAJASTHAN ROYALS WON BY 87 RUNS,"RR
179/3
(20 OV)","MI
92
(18.2 OV )",https://www.iplt20.com/match/2013/10349
2013,MATCH 22,Pune,"APR, WED 17 , 4:00 pm IST",SUNRISERS HYDERABAD WON BY 11 RUNS,"PWI
108
(19 OV)","SRH
119/8
(20 OV )",https://www.iplt20.com/match/2013/10348
2013,MATCH 21,"M. Chinnaswamy Stadium, Bengaluru","APR, TUE 16 , 8:00 pm IST",MATCH TIED (ROYAL CHALLENGERS BANGALORE WON SUPER OVER),"RCB
152/7
(20 OV)","DD
152/5
(20 OV )",https://www.iplt20.com/match/2013/10347
2013,MATCH 20,"IS Bindra Stadium, Mohali","APR, TUE 16 , 4:00 pm IST",PUNJAB KINGS WON BY 4 RUNS,15/0,SUPER OVER - 1,https://www.iplt20.com/match/2013/10346
